HD,The Home Depot, Inc.,-0.209
MSFT,Microsoft Corporation,0.1154
GS,The Goldman Sachs Group, Inc.,0.3452
JPM,JPMorgan Chase & Co.,0.2979
V,Visa Inc.,0.2679
CVX,Chevron Corporation,-1.0909
MRK,Merck & Co., Inc.,-0.2414
AAPL,Apple Inc.,1.3014
VZ,Verizon Communications Inc.,-0.032
AMGN,Amgen Inc.,-0.1281
CRM,salesforce.com, inc.,0.2083
PG,The Procter & Gamble Company,0.0061
DIS,The Walt Disney Company,-3.5
TRV,The Travelers Companies, Inc.,0.5737
IBM,International Business Machines Corporation,-0.1977
CAT,Caterpillar Inc.,0.5821
MCD,McDonald's Corporation,-0.2342
INTC,Intel Corporation,0.3694
MMM,3M Company,-0.0206
WBA,Walgreens Boots Alliance, Inc.,0.1961
AXP,American Express Company,0.3538
HON,Honeywell International Inc.,0.3269
WMT,Walmart Inc.,-0.141
BA,The Boeing Company,2.0144
KO,The Coca-Cola Company,0.3095
UNH,UnitedHealth Group Incorporated,-0.2821
JNJ,Johnson & Johnson,-0.1545
DOW,Dow Inc.,0.62
CSCO,Cisco Systems, Inc.,-0.05
NKE,NIKE, Inc.,-0.1789
